Attendance Date,Employee Code,Department,Begin Time,End Time,In Time,Out Time,Duration,LateBy,EarlyBy,LeaveType,Leave Status,Punch Records,Over Time,Att Status,Status Code,Employee Device Code
16-May-2018,105,Default,09:30,18:30,08:55:58,18:18:09,09:00,00:00,00:00,,0,08:55:58(in);18:18:09(in);,22,Present,P,105
17-May-2018,105,Default,09:30,18:30,08:53:15,,00:00,00:00,00:00,,0,08:53:15(in);,0,Present,P,105
16-May-2018,106,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,106
17-May-2018,106,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,106
16-May-2018,107,Default,09:30,18:30,10:50:29,19:43:50,08:53,01:20,00:00,,0,10:50:29(in);19:43:50(in);,0,Present,P,107
17-May-2018,107,Default,09:30,18:30,13:59:59,,00:00,04:30,00:00,,0,13:59:59(in);,0,Present,P,107
16-May-2018,108,Default,09:30,18:30,10:02:25,18:46:06,08:44,00:32,00:00,,0,10:02:25(in);18:46:06(in);,0,Present,P,108
17-May-2018,108,Default,09:30,18:30,10:09:19,,00:00,00:39,00:00,,0,10:09:19(in);,0,Present,P,108
16-May-2018,109,Default,09:30,18:30,08:55:49,18:10:41,09:00,00:00,00:19,,0,08:55:49(in);18:10:41(in);,15,Present,P,109
17-May-2018,109,Default,09:30,18:30,08:58:38,,00:00,00:00,00:00,,0,08:58:38(in);,0,Present,P,109
16-May-2018,110,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,110
17-May-2018,110,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,110
16-May-2018,111,Default,09:30,18:30,08:57:01,18:04:12,09:00,00:00,00:26,,0,08:57:01(in);18:04:12(in);,0,Present,P,111
17-May-2018,111,Default,09:30,18:30,09:01:53,,00:00,00:00,00:00,,0,09:01:53(in);,0,Present,P,111
16-May-2018,112,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,112
17-May-2018,112,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,112
16-May-2018,113,Default,09:30,18:30,09:47:00,18:24:46,08:38,00:17,00:00,,0,09:47:00(in);18:24:46(in);,0,Present,P,113
17-May-2018,113,Default,09:30,18:30,09:26:34,,00:00,00:00,00:00,,0,09:26:34(in);,0,Present,P,113
16-May-2018,114,Default,09:30,18:30,09:01:00,18:08:18,09:00,00:00,00:22,,0,09:01:00(in);18:08:18(in);,0,Present,P,114
17-May-2018,114,Default,09:30,18:30,09:02:56,13:00:24,03:57,00:00,00:00,,0,09:02:56(in);13:00:24(in);,0,Absent,A,114
16-May-2018,115,Default,09:30,18:30,08:59:42,18:11:42,09:00,00:00,00:18,,0,08:59:42(in);18:11:42(in);,12,Present,P,115
17-May-2018,115,Default,09:30,18:30,12:36:00,,00:00,03:06,00:00,,0,12:36:00(in);,0,Present,P,115
16-May-2018,116,Default,09:30,18:30,09:09:22,18:32:13,09:00,00:00,00:00,,0,09:09:22(in);18:32:13(in);,23,Present,P,116
17-May-2018,116,Default,09:30,18:30,08:59:54,,00:00,00:00,00:00,,0,08:59:54(in);,0,Present,P,116
16-May-2018,117,Default,09:30,18:30,08:52:56,18:12:07,09:00,00:00,00:18,,0,08:52:56(in);18:12:07(in);,19,Present,P,117
